,Unnamed: 0,date,game_center,geo_location,attendance,capacity,guest,home,streak_home,streak_guest
149,149,2017-04-03 19:00:00,ORACLE Arena,"Oakland, CA",19596,19596,Wizards,Warriors,11,-3
150,150,2017-04-03 20:00:00,Talking Stick Resort Arena,"Phoenix, AZ",17378,18422,Rockets,Suns,-12,1
151,151,2016-10-30 11:30:00,Wells Fargo Center,"Philadelphia, PA",16312,20318,Hawks,76ers,-2,2
152,152,2016-10-30 18:00:00,Spectrum Center,"Charlotte, NC",18708,19077,Celtics,Hornets,-1,1
153,153,2016-10-30 18:30:00,Madison Square Garden,"New York, NY",19812,19763,Grizzlies,Knicks,1,-1
154,154,2016-10-30 18:30:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Magic,Cavaliers,3,-3
155,155,2016-10-30 19:00:00,United Center,"Chicago, IL",21373,20917,Pacers,Bulls,2,-2
156,156,2016-10-30 19:00:00,BMO Harris Bradley Center,"Milwaukee, WI",12570,18717,Nets,Bucks,1,-1
157,157,2016-10-30 19:00:00,AT&T Center,"San Antonio, TX",18418,18581,Pelicans,Spurs,3,-3
158,158,2016-10-30 20:00:00,Pepsi Center,"Denver, CO",18055,19155,Blazers,Nuggets,-1,0
159,159,2016-10-30 21:30:00,Golden 1 Center,"SACRAMENTO, CA",17608,17500,Timberwolves,Kings,1,-2
160,160,2016-10-31 15:30:00,STAPLES Center,"Los Angeles, CA",19060,19060,Jazz,Clippers,2,-1
161,161,2016-10-31 17:00:00,Talking Stick Resort Arena,"Phoenix, AZ",17011,18422,Warriors,Suns,-3,2
162,162,2016-10-31 17:00:00,AmericanAirlines Arena,"Miami, FL",19678,19600,Spurs,Heat,-2,4
163,163,2016-10-31 17:00:00,The Palace of Auburn Hills,"Detroit, MI",15161,22076,Bucks,Pistons,2,-1
164,164,2016-10-31 19:00:00,FedExForum,"Memphis, TN",15573,18119,Wizards,Grizzlies,1,-2
165,165,2016-10-31 18:00:00,Chesapeake Energy Arena,"Oklahoma City, OK",18203,18203,Lakers,Thunder,3,-2
166,166,2016-10-31 19:00:00,Toyota Center,"Houston, TX",18055,18104,Mavericks,Rockets,2,-3
167,167,2016-11-01 18:30:00,Air Canada Centre,"Toronto, ON",19800,19800,Nuggets,Raptors,1,-2
168,168,2016-11-01 18:30:00,Philips Arena,"Atlanta, GA",12501,18729,Kings,Hawks,3,-1
169,169,2016-11-01 21:30:00,STAPLES Center,"Los Angeles, CA",19060,19060,Suns,Clippers,3,-4
170,170,2016-11-02 18:00:00,Wells Fargo Center,"Philadelphia, PA",12529,20318,Magic,76ers,-3,1
171,171,2016-11-02 17:00:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Rockets,Cavaliers,4,-1
172,172,2016-11-02 18:00:00,Bankers Life Fieldhouse,"Indianapolis, IN",15348,18165,Lakers,Pacers,1,-3
173,173,2016-11-02 18:30:00,AmericanAirlines Arena,"Miami, FL",19612,19600,Kings,Heat,1,-2
174,174,2016-11-02 18:30:00,The Palace of Auburn Hills,"Detroit, MI",13087,22076,Knicks,Pistons,3,-1
175,175,2016-11-02 19:00:00,Smoothie King Center,"New Orleans, LA",15515,17188,Bucks,Pelicans,-4,1
176,176,2016-11-02 19:00:00,Target Center,"Minneapolis, MN",14774,19356,Grizzlies,Timberwolves,1,-1
177,177,2016-11-02 19:30:00,AT&T Center,"San Antonio, TX",18418,18581,Jazz,Spurs,-1,1
178,178,2016-11-02 21:00:00,Moda Center,"Portland, OR",19393,19441,Warriors,Trail,0,3
179,179,2016-11-03 18:00:00,Verizon Center,"Washington, DC",19581,20173,Raptors,Wizards,-3,2
180,180,2016-11-03 18:00:00,Spectrum Center,"Charlotte, NC",15275,19077,76ers,Hornets,1,-4
181,181,2016-11-03 18:30:00,Madison Square Garden,"New York, NY",19812,19763,Rockets,Knicks,-2,1
182,182,2016-11-03 18:30:00,Philips Arena,"Atlanta, GA",13800,18729,Lakers,Hawks,-1,1
183,183,2016-11-03 19:00:00,FedExForum,"Memphis, TN",15881,18119,Pelicans,Grizzlies,1,-5
184,184,2016-11-03 19:00:00,TD Garden,"Boston, MA",18624,18624,Bulls,Celtics,2,-1
185,185,2016-11-03 20:00:00,Vivint Smart Home Arena,"Salt Lake City, UT",19318,19911,Mavericks,Jazz,2,-4
186,186,2016-11-03 21:00:00,Talking Stick Resort Arena,"Phoenix, AZ",17284,18422,Blazers,Suns,1,0
187,187,2016-11-03 21:30:00,STAPLES Center,"Los Angeles, CA",19060,19060,Thunder,Clippers,-1,4
188,188,2016-11-04 18:00:00,Amway Center,"Orlando, FL",17026,18500,Kings,Magic,2,-3
