,date,game_center,geo_location,attendance,capacity,home,guest,mon,day,time,dow,night
119,2017-03-02 20:00:00,TD Garden,"Boston, MA",18624,18624,Cavaliers,Celtics,3,2,20,3,1
120,2017-02-02 21:30:00,Chesapeake Energy Arena,"Oklahoma City, OK",18203,18203,Bulls,Thunder,2,2,21,3,1
121,2016-12-02 21:00:00,Vivint Smart Home Arena,"Salt Lake City, UT",19073,19911,Heat,Jazz,12,2,21,4,1
122,2017-02-02 22:30:00,ORACLE Arena,"Oakland, CA",19596,19596,Hornets,Warriors,2,2,22,3,1
123,2016-12-02 22:30:00,ORACLE Arena,"Oakland, CA",19596,19596,Rockets,Warriors,12,2,22,4,1
124,2017-03-02 20:30:00,AT&T Center,"San Antonio, TX",18418,18581,Pacers,Spurs,3,2,20,3,1
125,2017-04-03 12:00:00,Madison Square Garden,"New York, NY",19812,19763,Celtics,Knicks,4,3,12,0,0
126,2017-04-03 17:00:00,Smoothie King Center,"New Orleans, LA",18306,17188,Bulls,Pelicans,4,3,17,0,0
127,2017-04-03 17:00:00,Air Canada Centre,"Toronto, ON",19800,19800,76ers,Raptors,4,3,17,0,0
128,2017-03-02 21:00:00,Vivint Smart Home Arena,"Salt Lake City, UT",19127,19911,Timberwolves,Jazz,3,2,21,3,1
129,2016-12-03 19:00:00,Wells Fargo Center,"Philadelphia, PA",13711,20318,Magic,76ers,12,3,19,5,1
130,2017-04-03 17:00:00,AmericanAirlines Arena,"Miami, FL",19600,19600,Nuggets,Heat,4,3,17,0,0
131,2017-03-02 22:30:00,STAPLES Center,"Los Angeles, CA",19060,19060,Rockets,Clippers,3,2,22,3,1
132,2017-02-03 19:00:00,Verizon Center,"Washington, DC",16473,20173,Lakers,Wizards,2,3,19,4,1
133,2016-12-03 19:30:00,TD Garden,"Boston, MA",18624,18624,Kings,Celtics,12,3,19,5,1
134,2017-03-02 22:30:00,Golden 1 Center,"SACRAMENTO, CA",17608,17500,Nets,Kings,3,2,22,3,1
135,2017-02-03 20:00:00,Toyota Center,"Houston, TX",15602,18104,Hawks,Rockets,2,3,20,4,1
136,2017-01-04 21:00:00,Pepsi Center,"Denver, CO",11018,19155,Kings,Nuggets,1,4,21,2,1
137,2017-01-04 21:00:00,Talking Stick Resort Arena,"Phoenix, AZ",16772,18422,Heat,Suns,1,4,21,2,1
138,2017-01-04 22:30:00,STAPLES Center,"Los Angeles, CA",18997,19060,Grizzlies,Lakers,1,4,22,2,1
139,2016-10-29 18:30:00,The Palace of Auburn Hills,"Detroit, MI",19122,22076,Magic,Pistons,10,29,18,5,0
140,2016-10-29 19:00:00,Chesapeake Energy Arena,"Oklahoma City, OK",18203,18203,Suns,Thunder,10,29,19,5,1
141,2016-10-29 19:00:00,AmericanAirlines Arena,"Miami, FL",19600,19600,Hornets,Heat,10,29,19,5,1
142,2016-10-29 19:30:00,American Airlines Center,"Dallas, TX",20163,19200,Rockets,Mavericks,10,29,19,5,1
143,2016-10-29 20:00:00,Vivint Smart Home Arena,"Salt Lake City, UT",19911,19911,Lakers,Jazz,10,29,20,5,1
144,2016-10-29 20:30:00,Smoothie King Center,"New Orleans, LA",18217,17188,Warriors,Pelicans,10,29,20,5,1
145,2017-02-03 20:30:00,AT&T Center,"San Antonio, TX",18418,18581,76ers,Spurs,2,3,20,4,1
146,2017-04-03 17:00:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Pacers,Cavaliers,4,3,17,0,0
147,2017-02-03 22:30:00,STAPLES Center,"Los Angeles, CA",19385,19060,Warriors,Clippers,2,3,22,4,1
148,2017-04-03 14:30:00,AT&T Center,"San Antonio, TX",18418,18581,Jazz,Spurs,4,3,14,0,0
149,2017-04-03 19:00:00,ORACLE Arena,"Oakland, CA",19596,19596,Wizards,Warriors,4,3,19,0,1
150,2017-04-03 20:00:00,Talking Stick Resort Arena,"Phoenix, AZ",17378,18422,Rockets,Suns,4,3,20,0,1
151,2016-10-30 11:30:00,Wells Fargo Center,"Philadelphia, PA",16312,20318,Hawks,76ers,10,30,11,6,0
152,2016-10-30 18:00:00,Spectrum Center,"Charlotte, NC",18708,19077,Celtics,Hornets,10,30,18,6,0
153,2016-10-30 18:30:00,Madison Square Garden,"New York, NY",19812,19763,Grizzlies,Knicks,10,30,18,6,0
154,2016-10-30 18:30:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Magic,Cavaliers,10,30,18,6,0
155,2016-10-30 19:00:00,United Center,"Chicago, IL",21373,20917,Pacers,Bulls,10,30,19,6,1
156,2016-10-30 19:00:00,BMO Harris Bradley Center,"Milwaukee, WI",12570,18717,Nets,Bucks,10,30,19,6,1
157,2016-10-30 19:00:00,AT&T Center,"San Antonio, TX",18418,18581,Pelicans,Spurs,10,30,19,6,1
158,2016-10-30 20:00:00,Pepsi Center,"Denver, CO",18055,19155,Blazers,Nuggets,10,30,20,6,1
159,2016-10-30 21:30:00,Golden 1 Center,"SACRAMENTO, CA",17608,17500,Timberwolves,Kings,10,30,21,6,1
160,2016-10-31 15:30:00,STAPLES Center,"Los Angeles, CA",19060,19060,Jazz,Clippers,10,31,15,0,0
161,2016-10-31 17:00:00,Talking Stick Resort Arena,"Phoenix, AZ",17011,18422,Warriors,Suns,10,31,17,0,0
162,2016-10-31 17:00:00,AmericanAirlines Arena,"Miami, FL",19678,19600,Spurs,Heat,10,31,17,0,0
163,2016-10-31 17:00:00,The Palace of Auburn Hills,"Detroit, MI",15161,22076,Bucks,Pistons,10,31,17,0,0
164,2016-10-31 19:00:00,FedExForum,"Memphis, TN",15573,18119,Wizards,Grizzlies,10,31,19,0,1
165,2016-10-31 18:00:00,Chesapeake Energy Arena,"Oklahoma City, OK",18203,18203,Lakers,Thunder,10,31,18,0,0
166,2016-10-31 19:00:00,Toyota Center,"Houston, TX",18055,18104,Mavericks,Rockets,10,31,19,0,1
167,2016-11-01 18:30:00,Air Canada Centre,"Toronto, ON",19800,19800,Nuggets,Raptors,11,1,18,1,0
168,2016-11-01 18:30:00,Philips Arena,"Atlanta, GA",12501,18729,Kings,Hawks,11,1,18,1,0
169,2016-11-01 21:30:00,STAPLES Center,"Los Angeles, CA",19060,19060,Suns,Clippers,11,1,21,1,1
170,2016-11-02 18:00:00,Wells Fargo Center,"Philadelphia, PA",12529,20318,Magic,76ers,11,2,18,2,0
171,2016-11-02 17:00:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Rockets,Cavaliers,11,2,17,2,0
172,2016-11-02 18:00:00,Bankers Life Fieldhouse,"Indianapolis, IN",15348,18165,Lakers,Pacers,11,2,18,2,0
173,2016-11-02 18:30:00,AmericanAirlines Arena,"Miami, FL",19612,19600,Kings,Heat,11,2,18,2,0
174,2016-11-02 18:30:00,The Palace of Auburn Hills,"Detroit, MI",13087,22076,Knicks,Pistons,11,2,18,2,0
175,2016-11-02 19:00:00,Smoothie King Center,"New Orleans, LA",15515,17188,Bucks,Pelicans,11,2,19,2,1
176,2016-11-02 19:00:00,Target Center,"Minneapolis, MN",14774,19356,Grizzlies,Timberwolves,11,2,19,2,1
177,2016-11-02 19:30:00,AT&T Center,"San Antonio, TX",18418,18581,Jazz,Spurs,11,2,19,2,1
178,2016-11-02 21:00:00,Moda Center,"Portland, OR",19393,19441,Warriors,Trail,11,2,21,2,1
179,2016-11-03 18:00:00,Verizon Center,"Washington, DC",19581,20173,Raptors,Wizards,11,3,18,3,0
180,2016-11-03 18:00:00,Spectrum Center,"Charlotte, NC",15275,19077,76ers,Hornets,11,3,18,3,0
181,2016-11-03 18:30:00,Madison Square Garden,"New York, NY",19812,19763,Rockets,Knicks,11,3,18,3,0
182,2016-11-03 18:30:00,Philips Arena,"Atlanta, GA",13800,18729,Lakers,Hawks,11,3,18,3,0
183,2016-11-03 19:00:00,FedExForum,"Memphis, TN",15881,18119,Pelicans,Grizzlies,11,3,19,3,1
184,2016-11-03 19:00:00,TD Garden,"Boston, MA",18624,18624,Bulls,Celtics,11,3,19,3,1
185,2016-11-03 20:00:00,Vivint Smart Home Arena,"Salt Lake City, UT",19318,19911,Mavericks,Jazz,11,3,20,3,1
186,2016-11-03 21:00:00,Talking Stick Resort Arena,"Phoenix, AZ",17284,18422,Blazers,Suns,11,3,21,3,1
187,2016-11-03 21:30:00,STAPLES Center,"Los Angeles, CA",19060,19060,Thunder,Clippers,11,3,21,3,1
188,2016-11-04 18:00:00,Amway Center,"Orlando, FL",17026,18500,Kings,Magic,11,4,18,4,0
189,2016-11-04 19:00:00,BMO Harris Bradley Center,"Milwaukee, WI",11374,18717,Pacers,Bucks,11,4,19,4,1
190,2016-11-04 19:00:00,Target Center,"Minneapolis, MN",11219,19356,Nuggets,Timberwolves,11,4,19,4,1
191,2016-11-04 19:00:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Celtics,Cavaliers,11,4,19,4,1
192,2016-11-04 21:30:00,ORACLE Arena,"Oakland, CA",19596,19596,Thunder,Warriors,11,4,21,4,1
193,2016-11-05 18:00:00,Verizon Center,"Washington, DC",14663,20173,Hawks,Wizards,11,5,18,5,0
194,2016-11-05 18:30:00,Air Canada Centre,"Toronto, ON",19800,19800,Heat,Raptors,11,5,18,5,0
195,2016-11-05 19:00:00,United Center,"Chicago, IL",22376,20917,Knicks,Bulls,11,5,19,5,1
196,2016-11-05 19:00:00,FedExForum,"Memphis, TN",17115,18119,Clippers,Grizzlies,11,5,19,5,1
197,2016-11-05 19:00:00,Smoothie King Center,"New Orleans, LA",15379,17188,Suns,Pelicans,11,5,19,5,1
198,2016-11-05 19:30:00,American Airlines Center,"Dallas, TX",19475,19200,Blazers,Mavericks,11,5,19,5,1
199,2016-11-05 20:00:00,Vivint Smart Home Arena,"Salt Lake City, UT",19911,19911,Spurs,Jazz,11,5,20,5,1
200,2016-11-05 21:30:00,STAPLES Center,"Los Angeles, CA",18997,19060,Warriors,Lakers,11,5,21,5,1
201,2016-11-06 17:00:00,Chesapeake Energy Arena,"Oklahoma City, OK",18203,18203,Timberwolves,Thunder,11,6,17,6,0
202,2016-11-06 18:00:00,Wells Fargo Center,"Philadelphia, PA",20497,20318,Cavaliers,76ers,11,6,18,6,0
203,2016-11-06 18:00:00,Amway Center,"Orlando, FL",18846,18500,Wizards,Magic,11,6,18,6,0
204,2016-11-06 18:00:00,The Palace of Auburn Hills,"Detroit, MI",16218,22076,Nuggets,Pistons,11,6,18,6,0
205,2016-11-06 18:00:00,Bankers Life Fieldhouse,"Indianapolis, IN",17020,18165,Bulls,Pacers,11,6,18,6,0
206,2016-11-06 18:30:00,Philips Arena,"Atlanta, GA",16895,18729,Rockets,Hawks,11,6,18,6,0
207,2016-11-06 19:00:00,BMO Harris Bradley Center,"Milwaukee, WI",16021,18717,Kings,Bucks,11,6,19,6,1
208,2016-11-06 19:30:00,AT&T Center,"San Antonio, TX",18418,18581,Clippers,Spurs,11,6,19,6,1
209,2016-11-07 12:00:00,Madison Square Garden,"New York, NY",19812,19763,Jazz,Knicks,11,7,12,0,0
210,2016-11-07 15:30:00,FedExForum,"Memphis, TN",16233,18119,Blazers,Grizzlies,11,7,15,0,0
211,2016-11-07 18:00:00,Air Canada Centre,"Toronto, ON",19800,19800,Kings,Raptors,11,7,18,0,0
212,2016-11-07 19:00:00,American Airlines Center,"Dallas, TX",19345,19200,Bucks,Mavericks,11,7,19,0,1
213,2016-11-07 19:30:00,TD Garden,"Boston, MA",17452,18624,Nuggets,Celtics,11,7,19,0,1
214,2016-11-07 21:30:00,STAPLES Center,"Los Angeles, CA",18997,19060,Suns,Lakers,11,7,21,0,1
215,2016-11-08 19:00:00,Wells Fargo Center,"Philadelphia, PA",14168,20318,Jazz,76ers,11,8,19,1,1
216,2016-11-08 19:00:00,Verizon Center,"Washington, DC",13173,20173,Rockets,Wizards,11,8,19,1,1
217,2016-11-08 19:00:00,Spectrum Center,"Charlotte, NC",16880,19077,Pacers,Hornets,11,8,19,1,1
218,2016-11-08 20:00:00,United Center,"Chicago, IL",21320,20917,Magic,Bulls,11,8,20,1,1
219,2016-11-08 20:00:00,Chesapeake Energy Arena,"Oklahoma City, OK",18203,18203,Heat,Thunder,11,8,20,1,1
220,2016-11-08 22:30:00,STAPLES Center,"Los Angeles, CA",19060,19060,Pistons,Clippers,11,8,22,1,1
221,2016-11-08 22:30:00,ORACLE Arena,"Oakland, CA",19596,19596,Pelicans,Warriors,11,8,22,1,1
222,2016-11-09 19:00:00,Quicken Loans Arena,"Cleveland, OH",20562,20562,Hawks,Cavaliers,11,9,19,2,1
223,2016-11-09 20:00:00,FedExForum,"Memphis, TN",15109,18119,Nuggets,Grizzlies,11,9,20,2,1
224,2016-11-09 22:00:00,Moda Center,"Portland, OR",19239,19441,Suns,Trail,11,9,22,2,1
225,2016-11-09 22:30:00,STAPLES Center,"Los Angeles, CA",18997,19060,Mavericks,Lakers,11,9,22,2,1
226,2016-11-09 22:30:00,Golden 1 Center,"SACRAMENTO, CA",17608,17500,Pelicans,Kings,11,9,22,2,1
227,2016-11-10 19:00:00,Madison Square Garden,"New York, NY",19812,19763,Nets,Knicks,11,10,19,3,1
228,2016-11-10 19:00:00,Verizon Center,"Washington, DC",12675,20173,Celtics,Wizards,11,10,19,3,1
229,2016-11-10 19:00:00,Spectrum Center,"Charlotte, NC",15712,19077,Jazz,Hornets,11,10,19,3,1
230,2016-11-10 19:00:00,Amway Center,"Orlando, FL",17102,18500,Timberwolves,Magic,11,10,19,3,1
